# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-04 09:57:12
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE (Edge-Constrained)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,NILS_avg,NILS_max,NILS_std,time_elapsed
0,7145.615968222493,501.6149235953888,0.0,1.0,0.2407,0.42750849114374323,4.080989278938963e-05,0.0014110828256341632,6.338088826529562e-05,0.3707699775695801
1,6696.244048238761,489.05262848530714,0.0,1.0,0.24024718193990546,0.42652884636165245,4.0860303444876294e-05,0.005256157775370497,6.45938848005151e-05,0.7604508399963379
2,6291.657286755763,475.36203182664303,0.0,1.0,0.23982342414971797,0.42561844383210634,4.063908670653117e-05,0.0032522980473144803,6.321287914554047e-05,1.1259360313415527
3,5890.238895699198,459.93967275655586,0.0,1.0,0.23942782679766406,0.424773139866156,4.038246271172714e-05,0.007018031511847289,6.250828330395197e-05,1.497441053390503
4,5527.078503705079,444.6903608028308,0.0,1.0,0.23906101494041054,0.4239895036476272,4.018927309957017e-05,0.004975715641659488,6.137741384910914e-05,1.8642802238464355
5,5202.282514055792,430.137127120492,0.0,1.0,0.23872137562260215,0.42326324796896686,4.004486250822764e-05,0.002143362965542658,6.0680072820203984e-05,2.251173973083496
6,4911.38337213376,416.38928165591943,0.0,1.0,0.2384067796441682,0.4225900419483689,3.9934949198929445e-05,0.0015848611333328876,6.0361174792006065e-05,2.635179042816162
7,4650.3541127272865,403.4390280809628,0.0,1.0,0.23811493138701342,0.4219654816538581,3.98485530521908e-05,0.0010829183898162945,6.0239111379484964e-05,3.0127298831939697
8,4416.404950858749,391.2689127522366,0.0,1.0,0.23784410838761808,0.42138607604250805,3.97791208926953e-05,0.0010379935888714781,6.023020015714772e-05,3.38263201713562
9,4206.748632492468,379.82781690558846,0.0,1.0,0.23759319560224987,0.4208490010545159,3.972107622057311e-05,0.0009924247087916968,6.030406131056835e-05,3.7534968852996826
10,4019.103849627615,369.0824042382014,0.0,1.0,0.23736159654911232,0.42035171530298016,3.967179375092044e-05,0.0010061229155137884,6.044006774897625e-05,4.138819932937622
11,3850.5900225379246,358.9677954497127,0.0,1.0,0.23714852142996795,0.41989244457452685,3.9630295753497225e-05,0.0011325434486172358,6.0625546183473486e-05,4.505969047546387
12,3699.055373182177,349.4363495524185,0.0,1.0,0.23695120849729545,0.4194687880276338,3.959819220168801e-05,0.00124667251826035,6.0860702081202396e-05,4.8781938552856445
13,3565.345001128627,340.60182581591215,0.0,1.0,0.23676399356189512,0.41907474916374027,3.957597765247137e-05,0.0013346115640575592,6.115445847958114e-05,5.251129865646362
14,3447.098905634638,332.4320811253851,0.0,1.0,0.23658330614811562,0.41870423610292956,3.956225519623388e-05,0.0017439979446463093,6.151214656374695e-05,5.637559175491333
15,3334.750807387658,324.29312125129593,0.0,1.0,0.23640959063063077,0.418353568693182,3.955273422356954e-05,0.002043019001101657,6.194625882179872e-05,6.012601852416992
16,3234.0163139984897,316.6928934837262,0.0,1.0,0.23624276351189205,0.41801941681892196,3.9546090677213e-05,0.004569814734072937,6.251109054668224e-05,6.384006977081299
17,3144.350449211563,309.65556884219797,0.0,1.0,0.23608260491805758,0.41769775624866823,3.953901531868388e-05,0.006980384293451128,6.315378368618353e-05,6.748561859130859
18,3064.8467812329354,303.1713420667924,0.0,1.0,0.23593174688813573,0.4173837606009168,3.95296003326805e-05,0.006949657468288913,6.354321654422084e-05,7.116091966629028
19,2994.7020667472625,297.24107274250247,0.0,1.0,0.23579628380765477,0.4170711580309727,3.952121756975601e-05,0.005671832295498973,6.379865931941043e-05,7.480427026748657
