# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-14 19:54:35
# Optimizer Type: adam
# Loss Type: Hybrid(EPE=0.5)
# Learning Rate: 0.01
# Initial Loss: 61.701203
# Target Shape: 100x100
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 0.01
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,61.701202557991266,17.52944937552864,0.0,0.996078431372549,0.2071843137254902,0.4042851547692322,0,0.0,0.0,0.006829261779785156
1,61.688918818500795,17.602245186983605,0.0,1.0,0.20732681064939157,0.40276469408237425,1,1.7529449375528623,0.009923134280941768,0.013765096664428711
2,61.66051852667309,17.676710694818738,0.0,1.0,0.20710016581803375,0.40058371842989104,2,3.337752827667355,0.0198735918281011,0.028975963592529297
3,61.71469679109702,17.76650267214351,0.0,1.0,0.20685655980817155,0.398420776247911,3,4.771426718653583,0.029874793643106495,0.0394902229309082
4,61.622295057545976,17.84011675941753,0.0,1.0,0.20659573129607592,0.396278400211518,4,6.070552896519994,0.039939460909587304,0.045806169509887695
5,61.04074632349044,17.853803476422954,0.0,1.0,0.20631614070055612,0.39415810526669276,5,7.24692372279816,0.05004761308855935,0.07358598709106445
6,60.50957667308046,17.873669327043345,0.0,1.0,0.20601739688719253,0.39206137971008775,6,8.306786562533848,0.06013135069106541,0.08580708503723145
7,60.02837648908487,17.899664436332692,0.0,1.0,0.20569921271551947,0.3899887836584323,7,9.26237980468375,0.07019576204799427,0.09226822853088379
8,59.593832128035395,17.93121103902116,0.0,1.0,0.2053603348374659,0.38794106865933764,8,10.124720286692677,0.08024583606429148,0.09864211082458496
9,59.17217250885864,17.96401540523849,0.0,1.0,0.20500117510373356,0.3859182936940362,9,10.903672244936752,0.09028607176228949,0.1270742416381836
10,58.77731347017349,17.99990780360714,0.0,1.0,0.2046202481084443,0.38392084034474633,10,11.60768768059572,0.10031620587502516,0.1334831714630127
11,58.432216409735624,18.041772594603177,0.0,1.0,0.20421638488900018,0.3819491108117942,11,12.24456328204994,0.11033803415606089,0.1571059226989746
12,58.13323490943825,18.08900632016198,0.0,1.0,0.20379005290043145,0.380002436960399,12,12.821610798637698,0.12035663453483898,0.1652240753173828
13,57.87725590633448,18.14122039682974,0.0,1.0,0.2033427236086965,0.37808082702147305,13,13.345357687385318,0.1303765259342341,0.17222809791564941
14,57.66074164123597,18.197958321549933,0.0,1.0,0.20287550924941616,0.37618309143211626,14,13.821643031903125,0.14040173149748894,0.1910998821258545
15,57.483214424661895,18.259580208937315,0.0,1.0,0.20238748628341763,0.37430913067770627,15,14.255677288028695,0.1504356739212738,0.2102670669555664
16,57.34108866091616,18.32548452474717,0.0,1.0,0.2018787832803916,0.3724586531070977,16,14.652176718999417,0.16048160344204745,0.22788214683532715
17,57.236824747392646,18.39590059944624,0.0,1.0,0.20134852003510434,0.3706315488534112,17,15.015337092893093,0.17054236772399084,0.23692798614501953
18,57.15858203787383,18.468365265727034,0.0,1.0,0.20079825502410684,0.36882496696791844,18,15.348964147979204,0.18062105451465468,0.24327397346496582
19,56.54954681688075,18.349921440499635,0.0,1.0,0.20022893557360405,0.36703945887922806,19,15.656247431250417,0.19071892641613963,0.24967622756958008
20,55.84262490319008,18.1944182927812,0.0,1.0,0.19964408388405064,0.3652748540143587,20,15.921096839129563,0.20068760787425172,0.2556731700897217
21,55.0870631573688,18.026408270866618,0.0,1.0,0.19904684831113756,0.36353317346144337,21,16.1440153031169,0.21049441365065746,0.26154398918151855
22,54.36457533309051,17.85944608054386,0.0,1.0,0.19843927376816106,0.3618158990267005,22,16.32787186243314,0.22012357355262768,0.26732301712036133
23,53.637665373772755,17.681936251370384,0.0,1.0,0.19782174663621227,0.360124169516639,23,16.47662208983631,0.22957177350976146,0.2731049060821533
24,52.867819219095686,17.478830067818457,0.0,1.0,0.1971971310989688,0.3584592479029883,24,16.592696573133193,0.23882711816448995,0.2788560390472412
25,52.11577743503659,17.27173966471579,0.0,1.0,0.19656825226991256,0.3568221292689283,25,16.67678174292169,0.247865441367508,0.2846028804779053
26,51.378907817284514,17.06069897148352,0.0,1.0,0.19593742042008355,0.3552130431637048,26,16.731658639869607,0.2566794837432202,0.290330171585083
27,50.655125959906925,16.845657153719817,0.0,1.0,0.1953060429076406,0.3536336485859394,27,16.75983935205194,0.26526177279631713,0.29599809646606445
28,49.94923645174818,16.627446224136722,0.0,1.0,0.19467586900533704,0.352085106876544,28,16.763584877724966,0.2736046700897199,0.30364513397216797
29,49.257413555785945,16.40574152882852,0.0,1.0,0.194049301661935,0.3505685070237881,29,16.745015506998712,0.28170130126321974,0.30986499786376953
30,48.581552978707634,16.180879697170766,0.0,1.0,0.19343113339309662,0.3490825942477906,30,16.70601266146685,0.2895448478989248,0.3158552646636963
31,47.92007645102195,15.952806693771159,0.0,1.0,0.19281769175927665,0.34763067888158844,31,16.648299994657553,0.29712887641376895,0.3217020034790039
32,47.27660320554036,15.723664795249157,0.0,1.0,0.19221025735244587,0.34621369318470413,32,16.57342186878171,0.30444721553080883,0.3274519443511963
33,46.65299826668491,15.495076647414999,0.0,1.0,0.1916144800833519,0.3448292727033319,33,16.482981593672953,0.31149641848840076,0.33318519592285156
34,46.04941103540177,15.266987744931221,0.0,1.0,0.19102742871658215,0.343480376687875,34,16.37857724438728,0.3182748117808612,0.3389880657196045
35,45.47297037677459,15.041775419508669,0.0,1.0,0.19045122727755928,0.34216577702569245,35,16.26163439250422,0.32478150100345293,0.3449532985687256
36,44.92243788152528,14.820169303474142,0.0,1.0,0.1898893358703033,0.34088597497085027,36,16.133662529419002,0.33101815140522106,0.35107994079589844
37,44.39519170309526,14.602068635055021,0.0,1.0,0.1893414635802039,0.3396417517351978,37,15.996080234561195,0.336987306271826,0.3574512004852295
38,43.89223811293021,14.38873512166372,0.0,1.0,0.18880749757378007,0.3384340862708663,38,15.850156122034889,0.3426926436651957,0.36339902877807617
39,43.414493081976126,14.181313096491557,0.0,1.0,0.18828825183115294,0.33726294003679014,39,15.69715461172298,0.3481396564401164,0.3694899082183838
40,42.95866196569702,13.97928812596385,0.0,1.0,0.1877832920110909,0.33612713262246036,40,15.538328089925804,0.35333554816477186,0.37534403800964355
41,42.53478010436982,13.785742027391432,0.0,1.0,0.18729345141098844,0.3350284613198917,41,15.374753113794107,0.35828835839164563,0.381181001663208
42,42.134991102355016,13.599406123203417,0.0,1.0,0.18681687707043132,0.333965628062992,42,15.207706241178457,0.36300861994209915,0.3869760036468506
43,41.769182089555414,13.423432992489793,0.0,1.0,0.1863563201232715,0.33293776733741137,43,15.038216198660303,0.3675066227650842,0.3926210403442383
44,41.42628142437604,13.257059326243455,0.0,1.0,0.18590890991845185,0.3319435382983678,44,14.867529365524774,0.3717951471104697,0.3987772464752197
45,41.106290790420694,13.100865185447368,0.0,1.0,0.18547676396343032,0.3309857158465434,45,14.6967309874441,0.3758878689171607,0.4047229290008545
46,40.81124595065387,12.956254577528,0.0,1.0,0.18505886698401255,0.33006265764054515,46,14.526859413029772,0.37979835823663316,0.4105339050292969
47,40.53761429565548,12.82217116401204,0.0,1.0,0.1846555995306865,0.3291721904181972,47,14.359016460582831,0.3835412284897749,0.4163641929626465
48,40.286642603350266,12.697974996058623,0.0,1.0,0.18426973489702694,0.3283135574559849,48,14.19411412116192,0.3871303377208942,0.42217516899108887
49,40.05072277426304,12.583624247513143,0.0,1.0,0.1838994998088751,0.3274871253364629,49,14.032879781235364,0.39057820614217625,0.4281432628631592
50,39.822654003965226,12.479367815630251,0.0,1.0,0.18354837404397967,0.32669535298502655,50,13.876008896534206,0.3938983790040198,0.4345211982727051
51,39.607228889808574,12.384001936445554,0.0,1.0,0.1832134590875199,0.32593566665620805,51,13.72418971803456,0.39710439998432073,0.44070005416870117
52,39.401465249611334,12.296010202492004,0.0,1.0,0.1828929884912726,0.32520561769964074,52,13.577928986124011,0.40020870838716266,0.4466829299926758
53,39.206473688866936,12.216520488243708,0.0,1.0,0.18258802918474518,0.32450848308934555,53,13.437539905757905,0.40322279051090065,0.45270824432373047
54,39.02128433945222,12.145234765016399,0.0,1.0,0.18229800536720933,0.3238441628907145,54,13.303430778771306,0.4061584878191062,0.4587841033935547
55,38.84558093165594,12.082025125623643,0.0,1.0,0.18202527526669846,0.32321220918393284,55,13.175936465689619,0.40902704387851896,0.4648590087890625
56,38.67934375465904,12.026268990162034,0.0,1.0,0.18176977195062208,0.32261088316581565,56,13.05533026011237,0.41183892633147506,0.4721071720123291
57,38.526238227222755,11.978293558877992,0.0,1.0,0.18153020138598758,0.32203924865641076,57,12.941780151017477,0.41460382508146604,0.47891807556152344
58,38.37832577234741,11.935409037663977,0.0,1.0,0.1813018824838681,0.32149544745297126,58,12.83545221825573,0.4173311867493974,0.4856562614440918
59,38.23588341890954,11.897511294843834,0.0,1.0,0.18108581663062745,0.3209781926910337,59,12.736211817375377,0.42002898558671,0.4922451972961426
60,38.098525070153315,11.864397285382692,0.0,1.0,0.18088276796718536,0.32048642022541257,60,12.643893245033304,0.42270410472408165,0.49907803535461426
61,37.96762648520493,11.836568486451574,0.0,1.0,0.18069294604463368,0.32002231165447625,61,12.55829887661011,0.42536291994745923,0.5052070617675781
62,37.842887295453586,11.813705443104784,0.0,1.0,0.18051452834183382,0.31958683455467796,62,12.47926810672467,0.42801135459789047,0.5112462043762207
63,37.72458740805743,11.795768025626874,0.0,1.0,0.1803472347651237,0.3191766515001828,63,12.40660583760706,0.4306547592165495,0.5174880027770996
64,37.61326398753733,11.783231002725296,0.0,1.0,0.18019097382006743,0.3187939264594018,64,12.340127569878286,0.43329870505520224,0.5235631465911865
65,37.39585978108202,11.710323260764008,0.0,1.0,0.1800455502263795,0.3184371356679202,65,12.279704015827011,0.43594873116865235,0.5294830799102783
66,37.082332602474615,11.581288881385225,0.0,1.0,0.17990897699693897,0.3181046661759444,66,12.218454205670835,0.4385745773852123,0.5354740619659424
67,36.78277950730144,11.458926759427396,0.0,1.0,0.17978236627420724,0.31779748823913495,67,12.15064508040863,0.4411476336855939,0.5414190292358398
68,36.50546633443925,11.348045030121686,0.0,1.0,0.17966963077554177,0.3175182464788115,68,12.077581378849624,0.4436725828267208,0.547421932220459
69,36.258720771417224,11.25333548979602,0.0,1.0,0.17956989559438868,0.31726352658358664,69,12.000926607973044,0.4461570277777018,0.5533089637756348
70,36.027308378843834,11.16598936654603,0.0,1.0,0.17948074912105952,0.3170290179984455,70,11.92265878887953,0.44861092624184123,0.5592069625854492
71,35.807836416577004,11.08275543414952,0.0,1.0,0.1794025729232471,0.3168108750726168,71,11.843658092517291,0.4510388564739967,0.5651199817657471
72,35.61762927870522,11.014355019675454,0.0,1.0,0.17933686021969808,0.3166148479733017,72,11.764362044223985,0.4534421161391362,0.5710899829864502
73,35.37315656746048,10.909075857270647,0.0,1.0,0.1792840039990122,0.3164407373426039,73,11.686276787199619,0.45582854652864707,0.577078104019165
74,35.14621343888409,10.811526464195971,0.0,1.0,0.17924526486291747,0.3162943142262184,74,11.605432113348437,0.4581789492913304,0.5834529399871826
75,34.94255573651934,10.725636043719959,0.0,1.0,0.17922180591250164,0.31617103231582677,75,11.522871617232823,0.46049762609114997,0.5895330905914307
76,34.78863424939491,10.668964433661824,0.0,1.0,0.1792111391251243,0.316068438429646,76,11.439951410763616,0.46279051165304785,0.5953989028930664
