# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-02-15 16:24:24
# Optimizer Type: Momentum-Edge-ConFIG
# Loss Type: PE+EPE (Fixed Weights + Momentum + Gradient Norm)
# Learning Rate: 0.1
# Initial Loss: 14291.231248
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
#   pe_weight: 0.1
#   epe_weight: 0.9
#   momentum_beta: 0
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615348789476,475.49198590907224,0.0,1.0,0.2407,0.42750849114374323,0.4368109703063965
1,6717.856042005562,464.0765238372057,0.0,1.0,0.2403601912521918,0.42675897717768835,0.8814229965209961
2,6296.430938774336,450.4190366725523,0.0,1.0,0.2400444639421043,0.4260717640758206,1.3359260559082031
3,5890.260137594122,435.4236498840391,0.0,1.0,0.2397531907523315,0.4254426258943407,1.7798800468444824
4,5527.004345590514,420.75176837481547,0.0,1.0,0.23948611797394603,0.4248670432370352,2.2544801235198975
5,5202.110729271404,406.74643956851804,0.0,1.0,0.2392416043398929,0.42434048779047673,2.7975170612335205
6,4911.111267621562,393.516001539264,0.0,1.0,0.2390179025389977,0.4238587715063469,3.408553123474121
7,4649.907270182309,381.05177334559926,0.0,1.0,0.23881311821374354,0.423417662083757,3.899099111557007
8,4415.444037954349,369.324046488492,0.0,1.0,0.23862604696982592,0.4230140241609062,4.363825082778931
9,4205.279845271771,358.30374584021274,0.0,1.0,0.2384561298069736,0.4226455302526403,4.944764137268066
10,4016.8879769914847,347.94698303143264,0.0,1.0,0.23830311350306416,0.42231011905063076,5.416894197463989
11,3837.6699671474007,337.54200848562874,0.0,1.0,0.2381665618548432,0.4220062425306592,5.890720844268799
12,3674.945330953059,327.61753374588903,0.0,1.0,0.2380450729804573,0.4217323667344408,6.382443904876709
13,3530.030958193999,318.3305511319326,0.0,1.0,0.2379339607883869,0.42148360988763345,6.895581007003784
14,3401.06112097947,309.6787985845937,0.0,1.0,0.2378299485373915,0.421254846956578,7.352189064025879
15,3285.8183434521507,301.6131793471496,0.0,1.0,0.23773262471096843,0.42104241413191174,7.815784215927124
16,3182.755732669486,294.1100410914522,0.0,1.0,0.2376414679848624,0.42084317549983374,8.261881113052368
17,3090.612968278981,287.1465298732006,0.0,1.0,0.23755625124625193,0.42065389657693647,8.712594032287598
18,3008.307254476979,280.7057888178685,0.0,1.0,0.2374787239729763,0.4204709564198266,9.162053108215332
19,2934.9635164075094,274.78169181522867,0.0,1.0,0.23741421118705525,0.42028912038661753,9.611026048660278
20,2870.020649307701,269.39894332616683,0.0,1.0,0.23737188224564565,0.4201025406461847,10.069585084915161
21,2813.363992469884,264.62688628114034,0.0,1.0,0.2373647142730775,0.4199062329971241,10.528406858444214
22,2764.0116960331593,260.49549918055254,0.0,1.0,0.2374072359047978,0.4197015423684551,10.978556156158447
23,2718.030779541781,256.7836451307856,0.0,1.0,0.2375089317765078,0.41950006541583423,11.482107162475586
24,2669.179202233676,252.98019581926684,0.0,1.0,0.23766285807435097,0.41932317596083263,11.932218074798584
