# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-20 21:30:16
# Optimizer Type: momentum
# Loss Type: Comb(w=0)
# Learning Rate: 0.01
# Initial Loss: 135.230310
# Target Shape: 100x100_t100_inverse_comb
# Optimizer Parameters:
#   momentum: 0.9
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,velocity_norm,time_elapsed
0,135.23030971709255,50.68843730797325,0.0,0.996078431372549,0.2071843137254902,0.4042851547692322,0.0,0.0032210350036621094
1,128.31368714044072,54.51961189308895,0.0,1.0,0.20901863997366818,0.4040660194653762,0.5068843730797326,0.00551605224609375
2,115.49824916587174,60.063298716890316,0.0,1.0,0.21199074644108645,0.40247800564793335,1.0013039866798668,0.012408256530761719
3,92.11959134935648,63.67200991426771,0.0,1.0,0.21635882772124188,0.4002236466434763,1.501302006256369,0.014360189437866211
4,60.808797667349666,54.168399753402596,0.0,1.0,0.22208750171070255,0.3976942379458267,1.9862057025661704,0.01629805564880371
5,29.71858238635057,29.920777479506196,0.0,1.0,0.22876884411775272,0.3954511019700229,2.3240582072027567,0.020074129104614258
6,18.32071496215463,16.82442005747167,0.0,1.0,0.2355868564064651,0.3939364343130083,2.369479697818796,0.023798227310180664
7,16.022755106070957,13.814430473301003,0.0,1.0,0.2420501733492658,0.39319583057903246,2.242974313248807,0.02570819854736328
8,21.915733197646976,21.171986832134557,0.0,1.0,0.2479067579888315,0.39308257239892047,2.039878131693727,0.027235984802246094
9,39.16706527851498,43.07008951865789,0.0,1.0,0.2527486046531686,0.39334345534723136,1.7311891207230086,0.030330896377563477
10,55.79520800323839,58.87761285463562,0.0,1.0,0.25592723986492955,0.3935861872150494,1.2846736905712062,0.03422713279724121
11,59.990015898870894,62.4278518419503,0.0,1.0,0.2570907152473491,0.39345722717376996,0.9127994146216377,0.0368342399597168
12,50.82440531365977,56.00164450068137,0.0,1.0,0.25622067988991243,0.39266351977697406,0.9174754063148465,0.03831005096435547
13,30.965113199116075,36.21731195054485,0.0,1.0,0.2533951800102847,0.39084060197772,1.1730422253200736,0.04018807411193848
