# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-17 18:22:55
# Optimizer Type: momentum
# Loss Type: PE
# Learning Rate: 0.01
# Initial Loss: 252.985830
# Target Shape: 100x100_cell160_base
# Optimizer Parameters:
#   momentum: 0.9
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,velocity_norm,time_elapsed
0,252.98583001446272,41.76900154273558,0.0,1.0,0.06090039215686274,0.23914669927266477,0.0,0.006823062896728516
1,252.18070924527646,41.85848034683448,0.0,1.0,0.060755415662631346,0.23824646606597827,0.41769001542735507,0.0239870548248291
2,250.65817570677993,42.02978335887128,0.0,1.0,0.060479340566515785,0.2365396128628858,0.7945039671185393,0.030959129333496094
3,248.49596866125958,42.27427525610396,0.0,1.0,0.06008225169971059,0.2341137175049819,1.135336920379454,0.05418825149536133
4,245.7736099721901,42.583534644498734,0.0,1.0,0.05957231747833367,0.2310502359748534,1.4444920695188712,0.07422113418579102
5,242.57406644192457,42.94657768451826,0.0,1.0,0.058955601909668136,0.22742529828006253,1.7257369470877697,0.08130621910095215
6,238.98886228273875,43.346796849468745,0.0,1.0,0.05823730170178426,0.22331024828521026,1.9823300453571162,0.08942389488220215
7,235.12731958897425,43.75756369963399,0.0,1.0,0.05742016435887948,0.21877374455759196,2.2170162470805646,0.09763789176940918
8,231.13628892137172,44.14068490777114,0.0,1.0,0.05650718864876686,0.2138824189159833,2.431986631810378,0.11211204528808594
9,227.20686763561918,44.44817987700007,0.0,1.0,0.05549990240361177,0.20870493595011055,2.6288130199931024,0.12181305885314941
10,223.62196565399097,44.644579141503826,0.0,1.0,0.05440171326124573,0.20331336513733256,2.8083901609874267,0.13373208045959473
11,220.76479070755306,44.73114561948142,0.0,1.0,0.05321524813533802,0.197783148654518,2.9710426111855863,0.14101624488830566
12,219.10744065218387,44.78323963659929,0.0,1.0,0.05194561634652803,0.19219069671945704,3.1168437644304934,0.1562671661376953
13,219.20192825977966,44.975802138628275,0.0,1.0,0.05060340343014468,0.18661687451883405,3.2462585221206544,0.1636371612548828
14,209.67758065935294,42.650188123342794,0.0,1.0,0.049197747622691364,0.1811317241606863,3.3611796918206727,0.17003822326660156
15,199.12681483558478,39.767156399163845,0.0,1.0,0.0477867451518334,0.17591457439512498,3.4346623361197843,0.17828607559204102
16,191.79339770641928,37.81868869303831,0.0,1.0,0.04647008274694418,0.17119770267431367,3.4584276596352286,0.18643617630004883
17,186.9111608741579,36.64622801912638,0.0,1.0,0.04535158984034679,0.1671600625794863,3.4438154492574005,0.1999812126159668
18,183.464341684452,35.615709159891395,0.0,1.0,0.04448359225575469,0.16390803444205476,3.4082967429638904,0.21201109886169434
19,181.24162250496425,34.635561130660804,0.0,1.0,0.043880161774333314,0.16146299788957083,3.367785750532789,0.22594118118286133
20,180.84475399962895,34.411370044601576,0.0,1.0,0.04350366820456748,0.15977707104563496,3.3321267328956545,0.23380422592163086
21,181.51696017314532,35.10653629041242,0.0,1.0,0.04333581621194628,0.15874193860494637,3.306329910996535,0.24143123626708984
22,183.17358964873006,36.45664998004365,0.0,1.0,0.04334460364060152,0.1582084795748361,3.2892744415488275,0.24848318099975586
23,185.4209599500561,38.049267426282604,0.0,1.0,0.04346758645736753,0.1580327290403435,3.2849563067382745,0.2565572261810303
24,187.36176794820798,39.34091530532568,0.0,1.0,0.0436625293613338,0.15809344827483987,3.2990506017686836,0.26390886306762695
25,185.4307174126427,38.78613521894324,0.0,1.0,0.04388703745328093,0.1582996134926866,3.332013034359438,0.27054595947265625
26,183.30276810311312,38.042936413268066,0.0,1.0,0.044139719938612855,0.15865119806734873,3.364197904104111,0.2777101993560791
27,181.84223893960322,37.60737235769072,0.0,1.0,0.044414653945497595,0.15906228688223065,3.390137348439308,0.28451013565063477
28,181.0635647488601,37.31872260404163,0.0,1.0,0.04470779504773279,0.15953762940400829,3.4092427855745298,0.29119014739990234
29,180.3041130340095,36.79915324372722,0.0,1.0,0.04501764258044574,0.16002591269675295,3.4229966972135943,0.2978360652923584
30,179.8499120477298,36.29424263665846,0.0,1.0,0.04533880136320417,0.16049716696814098,3.4313726492334706,0.3040640354156494
31,179.7837003862188,36.01838539398057,0.0,1.0,0.045641695521361575,0.16089591142054555,3.435207739333069,0.3099939823150635
32,179.99952826513024,36.0071099971313,0.0,1.0,0.04592127254384139,0.16126677468404355,3.4360290759357,0.31584906578063965
33,180.45992532749096,36.18874031155444,0.0,1.0,0.04619999773152012,0.16160684597289393,3.435695474169827,0.32155704498291016
34,180.65074288215135,36.19230139934481,0.0,1.0,0.04648818031846426,0.1619267208674757,3.4369561346586908,0.3276538848876953
35,180.65778947676725,36.11793335808351,0.0,1.0,0.04681604644473591,0.1622878625202024,3.4397800007028114,0.33461713790893555
36,180.58201527165502,36.0823471058415,0.0,1.0,0.04719684050582998,0.16270314376385267,3.44434011102799,0.34116411209106445
37,180.55930876286575,36.21650380342871,0.0,1.0,0.047632515573178484,0.16318027989746375,3.4510227347511875,0.34784793853759766
38,180.85404651515594,36.62819947316417,0.0,1.0,0.04811232659200208,0.16368478852426133,3.460622963485212,0.3543870449066162
39,181.04713951764032,36.98337832133724,0.0,1.0,0.04860769601456299,0.16420693688639024,3.4748263826098156,0.3609480857849121
40,181.0288564385463,37.15286832604461,0.0,1.0,0.04910695066159211,0.1647066094154245,3.492068005469045,0.36745715141296387
41,180.88617078480775,37.154957522395705,0.0,1.0,0.04959540978720346,0.16516119489027556,3.510050052952589,0.37397003173828125
42,180.42639309149635,36.89069178439852,0.0,1.0,0.050075652684570315,0.16558836526110188,3.526963724472956,0.3806312084197998
43,179.79434293542434,36.42408741337891,0.0,1.0,0.0505457058901711,0.16601264809254976,3.5400812592845052,0.38714599609375
44,179.272664522414,35.939414391933134,0.0,1.0,0.05102177748129166,0.16644788030020813,3.547368914928833,0.3936772346496582
45,178.7675227631007,35.411705148380484,0.0,1.0,0.05150536609375481,0.1669044019709812,3.5489012021254913,0.40020108222961426
46,178.39790394733757,34.92963408258149,0.0,1.0,0.05201838478192351,0.1673991326501311,3.5446673733985072,0.40602612495422363
47,178.07122641254776,34.5199028742806,0.0,1.0,0.05256672774332039,0.16793441431028863,3.5358101394395223,0.41249513626098633
48,177.82811536291285,34.19674103464039,0.0,1.0,0.05315219805352873,0.16854641655829128,3.523851246897357,0.4186062812805176
49,177.60821756148889,33.9301622703766,0.0,1.0,0.05376979104530826,0.1692173610404469,3.5101938599033695,0.42437005043029785
50,177.20973408503744,33.55900141023296,0.0,1.0,0.05441708061135249,0.16996500102400713,3.495554671071133,0.43021512031555176
51,176.96546822677018,33.29433012011885,0.0,1.0,0.055088390853758586,0.17076783049983285,3.4785803732078056,0.43607211112976074
52,176.84890446440528,33.117824594752435,0.0,1.0,0.05577888511137836,0.1716058946562638,3.46054943279549,0.44208502769470215
53,176.845520848019,32.987113866371914,0.0,1.0,0.056485174071700804,0.17249600271423096,3.4425267422661565,0.4489610195159912
54,176.8312209734765,32.91844565542055,0.0,1.0,0.05720256151228692,0.17341372196678223,3.424911621901096,0.4553549289703369
55,176.92246170614516,32.9158193601838,0.0,1.0,0.05792388699790518,0.17436252276372868,3.408351969402015,0.46178221702575684
56,177.07831985360622,32.92243393795917,0.0,1.0,0.058638097829534296,0.1753203973847769,3.3934355282527293,0.4684422016143799
57,177.2281866324553,32.915722889271805,0.0,1.0,0.059338740565919604,0.17626205965306305,3.380116765013545,0.47606420516967773
58,177.3358101214932,32.8516886274688,0.0,1.0,0.06002446121977424,0.17718081261958002,3.3681679264034905,0.4829230308532715
59,177.3673385066766,32.714748501896025,0.0,1.0,0.06069276144479646,0.17807359109645288,3.3569569191090385,0.48993706703186035
60,177.37335669253025,32.55058934859486,0.0,1.0,0.06135123152831695,0.17895988022823786,3.345727433189082,0.4961891174316406
61,177.3758129910994,32.371534679790784,0.0,1.0,0.06200402698684472,0.17984146171632337,3.334217029798578,0.5020890235900879
62,177.31997880840024,32.15562312493463,0.0,1.0,0.06265567547061546,0.18073235990503075,3.3222757001393637,0.5079052448272705
63,177.12985391817259,31.847870214130115,0.0,1.0,0.06330912805997486,0.18163343033295073,3.30953193014799,0.5138859748840332
