# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-05 10:57:08
# Optimizer Type: EdgeConstrained-momentum
# Loss Type: PE (Edge-Constrained)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
# ===========================================

iteration,loss,grad_norm,nils,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615968222493,509.00820027254707,2.4965506391716006,0.0,1.0,0.2407,0.42750849114374323,0.0,0.28225207328796387
1,6665.549260395874,495.35430154167136,2.511438583791457,0.0,1.0,0.2403668428128343,0.4267795957152437,50.90082002725464,0.5650990009307861
2,5818.260162192924,463.4349013374861,2.5396671367857597,0.0,1.0,0.23974357672934102,0.4254718180884484,97.88703694867458,0.8655040264129639
3,4716.47086094577,409.82304212178974,2.5787664449992316,0.0,1.0,0.23889615935043718,0.42381778762373823,139.28140639045225,1.1436541080474854
4,3637.136508351099,343.2921451746957,2.6251796291070413,0.0,1.0,0.23791016121633599,0.4220906839945861,173.0768026286516,1.4207541942596436
5,2741.6134645602215,272.01911925293746,2.6742856584084307,0.0,1.0,0.23688096232295944,0.4205617493870265,198.30887881747142,1.7103400230407715
6,2111.010363005312,209.454600319275,2.7178282609761975,0.0,1.0,0.23597308364692132,0.41938590418452304,214.74901365043885,2.0143117904663086
7,1707.6038946323592,162.31194026695428,2.753194212446044,0.0,1.0,0.23524413469875888,0.41856278594652657,223.31751710846092,2.303741931915283
8,1491.547847750139,131.20985103950517,2.783064811611321,0.0,1.0,0.23462260694592624,0.41809321311860675,225.90735845540016,2.5961849689483643
9,1407.577050078371,112.92046698870641,2.8096005381228504,0.0,1.0,0.23399958091909903,0.4177909418456205,224.2452242877303,2.8880650997161865
10,1446.4640101191771,105.69112223302817,2.8327801543112603,0.0,1.0,0.2333380913305172,0.41741853721083355,219.324304362991,3.1780478954315186
11,1554.4453342291586,108.28749357608159,2.8481424270065037,0.0,1.0,0.23273862546975496,0.41693209024150524,212.45192643754166,3.464035987854004
12,1660.8731197247214,106.48410909707056,2.849862882459335,0.0,1.0,0.2323423959219334,0.41640800494764174,204.77851071809098,3.7361059188842773
13,1899.8852594856837,142.65469620230235,2.8205242322609085,0.0,1.0,0.23258517393814804,0.4160835282965379,195.74636087333937,4.024970054626465
14,1844.2499671384526,173.54139079391717,2.74434949837936,0.0,1.0,0.233855141552421,0.41664115499650445,185.83975931104118,4.301703214645386
15,3660.5963868032995,193.41910270601073,2.675910101389764,0.0,1.0,0.23568710389193112,0.41840833329569727,175.83136214039655,4.585511207580566
16,4232.289851057446,154.50444760684402,2.649046428907448,0.0,1.0,0.23656654581542425,0.41958699378670994,165.3039458521562,4.859001159667969
