# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-03 21:14:02
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE (Edge-Constrained)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
#   edge_pixel_range: 10
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,NILS_avg,NILS_max,NILS_std,time_elapsed
0,7145.615968222493,538.0283674851282,0.0,1.0,0.2407,0.42750849114374323,4.080989278938963e-05,0.0014110828256341632,6.338088826529562e-05,0.4305739402770996
1,7037.668860893771,535.6772471144334,0.0,1.0,0.24025839363289253,0.4256663374388094,4.003508220492911e-05,0.0014046373955046696,6.060077266101689e-05,0.8678319454193115
2,6855.09246477538,530.2725389287777,0.0,1.0,0.23982906509446522,0.42391189265720924,3.956746591918416e-05,0.0009807019377866297,5.8126021613839616e-05,1.290158987045288
3,6698.8197955709875,525.1681102624476,0.0,1.0,0.2394160677800677,0.4222472080482747,4.00965742177558e-05,0.0011603450714145493,6.292872067665848e-05,1.7570290565490723
4,6555.756496290258,520.2973173186904,0.0,1.0,0.23901799335934087,0.42066646167854677,3.9650203947214e-05,0.0021052174297809703,6.457890734916351e-05,2.179157018661499
5,6401.2745582356,514.9673746990976,0.0,1.0,0.2386338530079968,0.41916474142572113,3.84329304882182e-05,0.003343270282056938,6.140020338942604e-05,2.6101300716400146
6,6210.04756348626,508.2192921809321,0.0,1.0,0.23826392795044143,0.4177392933367705,3.691806387988658e-05,0.0026776672612464475,5.78353657384047e-05,3.030371904373169
7,6032.844952774187,501.8309781218016,0.0,1.0,0.23790995645567636,0.41638963485373076,3.5527176787702554e-05,0.0018214439935087298,5.400096703162952e-05,3.464589834213257
8,5872.512419676823,495.93123787052,0.0,1.0,0.23757091521636145,0.41511129455536844,3.4496391474863204e-05,0.0014869478986519666,5.170657028938785e-05,3.890758991241455
9,5727.476226407199,490.46873758303377,0.0,1.0,0.23724562176489744,0.4138995112967744,3.365774957570372e-05,0.0019075483356560644,5.046609558148193e-05,4.317126989364624
10,5596.625829226074,485.40799811076965,0.0,1.0,0.23693349974652111,0.4127500169303267,3.291574677068758e-05,0.0011902378604829076,4.976534609881146e-05,4.739180088043213
11,5478.890302947334,480.70835744612293,0.0,1.0,0.2366347590096495,0.4116593556599013,3.225554307719922e-05,0.0016035799273956951,4.976977741795084e-05,5.165609121322632
