# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-04 09:48:11
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE (Edge-Constrained)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 10
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,NILS_avg,NILS_max,NILS_std,time_elapsed
0,7145.615968222493,538.0283674851282,0.0,1.0,0.2407,0.42750849114374323,6.767607373318719e-09,0.0013975976428359886,5.0686073788492266e-05,0.5899052619934082
1,7037.668860893771,535.6772471144334,0.0,1.0,0.24025839363289253,0.4256663374388094,-3.876353634862558e-09,0.0010171444161104783,4.860420970255516e-05,1.1634559631347656
2,6855.09246477538,530.2725389287777,0.0,1.0,0.23982906509446522,0.42391189265720924,-1.2628650362290043e-08,0.0008167534873418375,4.676960417349821e-05,1.9127311706542969
3,6698.8197955709875,525.1681102624476,0.0,1.0,0.2394160677800677,0.4222472080482747,-3.0421302118881764e-08,0.001160342672236399,4.803412296203242e-05,2.6463160514831543
4,6555.756496290258,520.2973173186904,0.0,1.0,0.23901799335934087,0.42066646167854677,-4.1140585907331854e-08,0.002105078257933838,4.9707519588138706e-05,3.1046910285949707
5,6401.2745582356,514.9673746990976,0.0,1.0,0.2386338530079968,0.41916474142572113,1.869660292502432e-08,0.003324962944245125,4.8539689890496805e-05,3.6059939861297607
6,6210.04756348626,508.2192921809321,0.0,1.0,0.23826392795044143,0.4177392933367705,-1.9503781952773487e-08,0.0025251697979609107,4.6281304253393184e-05,4.094702243804932
7,6032.844952774187,501.8309781218016,0.0,1.0,0.23790995645567636,0.41638963485373076,-2.9263107196768093e-09,0.001596062799943479,4.355330566801546e-05,4.5963521003723145
8,5872.512419676823,495.93123787052,0.0,1.0,0.23757091521636145,0.41511129455536844,4.924498720912726e-09,0.0014867644349619484,4.193164946057788e-05,5.080944061279297
9,5727.476226407199,490.46873758303377,0.0,1.0,0.23724562176489744,0.4138995112967744,1.9429310500595313e-09,0.00100306604651562,4.0788128653600404e-05,5.5350682735443115
10,5596.625829226074,485.40799811076965,0.0,1.0,0.23693349974652111,0.4127500169303267,2.88455255218081e-09,0.0011815505580318661,4.009102720718234e-05,6.012935161590576
11,5478.890302947334,480.70835744612293,0.0,1.0,0.2366347590096495,0.4116593556599013,1.5362414284984457e-10,0.0011477658263475189,3.98658350677419e-05,6.520148992538452
12,5371.878463644669,476.29054478922853,0.0,1.0,0.23634952368297452,0.410625963983318,-2.48095558897057e-09,0.0011771083996761382,3.9812557723847226e-05,7.260679244995117
13,5273.427536971755,472.0814240424206,0.0,1.0,0.23607670290018198,0.4096491570762781,-3.2030252381706075e-09,0.0013349072506699108,3.986057453281243e-05,7.747164964675903
14,5185.736551196247,468.1415984730558,0.0,1.0,0.23581231411893733,0.4087246866043898,-5.553033839209551e-09,0.0012672991908617385,3.9975531207114994e-05,8.242968082427979
15,5107.9902539687555,464.4865468168406,0.0,1.0,0.23555294086226206,0.40784655731488006,-8.165413793868173e-09,0.0010726472943974766,4.0087375506560034e-05,8.735937118530273
16,5037.614355060196,461.03392130583046,0.0,1.0,0.23530269647318874,0.4070122960260283,-7.97376316680516e-09,0.0009629359743990724,4.012155673481824e-05,9.67995309829712
17,4973.640413517636,457.75276644650523,0.0,1.0,0.23506014841660972,0.4062185842980592,-4.6259654350567755e-09,0.0011493713220375914,4.000282637529353e-05,11.167582035064697
18,4915.37692325822,454.61600873803667,0.0,1.0,0.23482503896862403,0.40546307225787404,1.0391791430052096e-10,0.0011426000222856403,3.970183510842655e-05,12.265483140945435
19,4862.592870936698,451.61159903135774,0.0,1.0,0.2345980236740205,0.4047441972444456,2.663623568355548e-09,0.0010223094825161465,3.929275043053168e-05,13.119678974151611
20,4814.653012232896,448.70473995702764,0.0,1.0,0.23438102169616398,0.40406187588368087,2.3154673143652578e-09,0.0009186367460091806,3.8816942601194325e-05,13.938188076019287
21,4771.061783589899,445.87917407234517,0.0,1.0,0.2341774242131061,0.4034167344080873,1.1861664397882936e-09,0.0009127608375617187,3.83483082840426e-05,14.729620933532715
22,4731.108399069382,443.11733629123677,0.0,1.0,0.23399210471732876,0.4028101157893952,-4.5224045326968006e-10,0.0009000395847509905,3.790360311940656e-05,15.824528217315674
23,4693.376798521125,440.3599844656382,0.0,1.0,0.23383169990601077,0.40224324659156113,-2.109498445843431e-09,0.0008829113229940635,3.750369294193673e-05,16.937740087509155
24,4658.141263473133,437.64694607201557,0.0,1.0,0.23370625255703426,0.4017147833178037,-2.8982977973011458e-09,0.0008631215139379112,3.714712817677243e-05,18.103569984436035
25,4625.3836512632815,435.00419599966676,0.0,1.0,0.2336300777826121,0.40121774346267897,-3.6529302463908474e-09,0.0008408965841088406,3.681760673726926e-05,19.395743131637573
26,4570.739197451228,431.02628035091806,0.0,1.0,0.23361561524996544,0.4007426259196535,-4.822598527551647e-09,0.0008717908821080388,3.64884403338493e-05,20.411941051483154
27,4519.861329179351,427.2752201883901,0.0,1.0,0.23368076420730363,0.40028619886724026,-5.607341769415384e-09,0.0009088739103949422,3.6118237504189705e-05,21.584736108779907
28,4479.011028251761,424.29125865853956,0.0,1.0,0.23383695509730326,0.39985857196918534,-5.518025311942454e-09,0.0010105296253404695,3.57167393996739e-05,22.706187963485718
