# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-02 17:12:04
# Optimizer Type: Momentum-Edge-ConFIG
# Loss Type: PE+EPE (Fixed Weights + Momentum + Gradient Norm)
# Learning Rate: 0.1
# Initial Loss: 14291.231505
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 7
#   pe_weight: 0
#   epe_weight: 1
#   momentum_beta: 0.8
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615537082579,528.7231420915613,0.0,1.0,0.2407,0.42750849114374323,0.46193599700927734
1,6848.910701495623,520.7658967403956,0.0,1.0,0.24030195073109528,0.42651320341012594,0.9479048252105713
2,6473.2957629802995,508.25803685228385,0.0,1.0,0.23991246407755518,0.4255657503876293,1.4228520393371582
3,6140.275680728688,495.667177659623,0.0,1.0,0.23954526250180513,0.42468817272126497,1.9003069400787354
4,5823.856388593869,482.69703059498926,0.0,1.0,0.23920099455911936,0.42387290292226754,2.3743557929992676
5,5517.139149073497,469.60442977382144,0.0,1.0,0.23887830932104873,0.42311536776049624,2.841341972351074
6,5211.557359609661,454.6951525285953,0.0,1.0,0.2385370296990961,0.42236564812662947,3.3153629302978516
7,4950.131900378801,441.6596587101438,0.0,1.0,0.2382375367795037,0.42169642487778286,3.7971460819244385
8,4701.528749204019,428.6067955705702,0.0,1.0,0.23795841357644798,0.42107635675947286,4.282121896743774
9,4478.358327067179,416.33544928521343,0.0,1.0,0.23769861913850387,0.42050193061165625,4.769376993179321
10,4271.71358417195,404.4092297907014,0.0,1.0,0.23745642792577423,0.41996845716371883,5.246714115142822
11,4082.4733282771376,392.95040967841857,0.0,1.0,0.2372307195952891,0.4194723459898338,5.715065956115723
12,3913.3924180350773,382.2268418817237,0.0,1.0,0.23702071259977744,0.4190107858285598,6.189239025115967
13,3762.7669581781174,372.19415842110993,0.0,1.0,0.23682538427008543,0.4185806329849145,6.6590189933776855
14,3628.7653905976636,362.8224907954319,0.0,1.0,0.23664359843946395,0.41817891573929383,7.116844892501831
15,3509.535126776908,354.1426714418674,0.0,1.0,0.2364735073558552,0.41780184137280973,7.57790994644165
16,3403.158411185568,346.1671221558928,0.0,1.0,0.23631298899898795,0.4174450939227341,8.078284978866577
17,3306.9979616112887,338.8176880560344,0.0,1.0,0.23616013868209632,0.41710458851684623,8.608037948608398
18,3220.869605538656,331.826128899012,0.0,1.0,0.23601296738072514,0.41677621232510365,9.097433090209961
19,3151.8971013029704,325.86440860857425,0.0,1.0,0.23586851382021828,0.4164544836548567,9.596350908279419
20,3093.789232990317,320.401455788074,0.0,1.0,0.2357246496326612,0.41613134362860366,10.088314056396484
21,3041.400982098971,315.39385244825297,0.0,1.0,0.23558735703657252,0.41580092683418474,10.562294006347656
22,2995.961068446927,311.0368004313542,0.0,1.0,0.23546601676050938,0.4154553431041098,11.03013300895691
23,2962.7155780362896,307.4193295037386,0.0,1.0,0.23537098668372614,0.4150876582529897,11.517834901809692
24,2948.1537742177725,304.68504147107745,0.0,1.0,0.23531253748164627,0.4146966622430726,12.002892017364502
25,2950.0027825935013,302.8627119613911,0.0,1.0,0.23530262309961597,0.4142905137591817,12.491683006286621
26,2953.182038819324,301.2364267155296,0.0,1.0,0.23535190387937532,0.41388705190860525,12.968302965164185
27,2939.069833803667,299.38736685819134,0.0,1.0,0.23546656474747849,0.41351551640896383,13.439117908477783
