# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-02-12 22:21:34
# Optimizer Type: Momentum-Edge-ConFIG
# Loss Type: PE+EPE (Fixed Weights + Momentum)
# Learning Rate: 0.1
# Initial Loss: 14291.231248
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
#   pe_weight: 0.5
#   epe_weight: 0.5
#   momentum_beta: 0.7
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615624085085,475.1412142830051,0.0,1.0,0.2407,0.42750849114374323,0.41126489639282227
1,6716.4215824956245,463.99587629366704,0.0,1.0,0.2403591201257757,0.4267571189700111,0.8313188552856445
2,6283.208810860026,449.8322155492906,0.0,1.0,0.24003103081834648,0.42605496388055536,1.2352697849273682
3,5868.885522908526,434.3048226483397,0.0,1.0,0.23972851396801775,0.42541530676273076,1.6402008533477783
4,5500.647851259744,419.1612557129534,0.0,1.0,0.23945154337201457,0.42483311504390225,2.0664188861846924
5,5172.624866916731,405.8809879195588,0.0,1.0,0.23919854339557406,0.42430200788195666,2.47678279876709
6,4854.47283236945,389.90520308179543,0.0,1.0,0.23892781428525933,0.4237826571076465,2.8904898166656494
7,4584.8570562171935,376.40469266416034,0.0,1.0,0.23870005684597703,0.42332914266295135,3.3086798191070557
8,4344.369728370178,363.81702684032285,0.0,1.0,0.23849300593843928,0.42291684643777755,3.7231826782226562
9,4129.1372842864275,352.0694258990153,0.0,1.0,0.23830474321242245,0.42254131379531584,4.144415855407715
10,3936.27558438105,341.09840641467065,0.0,1.0,0.2381336774752212,0.4221988196945852,4.553582668304443
11,3763.7728054058593,330.86791860150987,0.0,1.0,0.23797888121608976,0.4218867478898211,4.969120979309082
12,3599.8466939329765,320.6410697012561,0.0,1.0,0.23783967618463997,0.4216029682744157,5.378590822219849
13,3452.889615669473,311.03080779093614,0.0,1.0,0.23771558959986613,0.4213456943205953,5.79131007194519
14,3321.836839738069,302.08538956347405,0.0,1.0,0.23760539714228648,0.4211122019470593,6.214944839477539
15,3204.638630174334,293.8048908500422,0.0,1.0,0.2375074993024333,0.420899459097785,6.627310037612915
16,3099.2876246350042,286.12776887125176,0.0,1.0,0.23742033761715,0.42070448062978344,7.041813850402832
17,3005.791480758915,278.9583769354224,0.0,1.0,0.23734202297108498,0.4205238501912516,7.453902721405029
18,2926.0167708251884,272.5468407528366,0.0,1.0,0.2372698749701589,0.42035271595652857,7.863817930221558
19,2856.2133337556224,266.7252762981137,0.0,1.0,0.23720331804315084,0.42018547627005515,8.286020755767822
20,2792.9079558491826,261.34658793923705,0.0,1.0,0.23714712441111646,0.42001693507991167,8.706317901611328
21,2736.519943485995,256.464694666764,0.0,1.0,0.23710962664304439,0.4198412594505777,9.118964910507202
22,2690.3230089742874,252.2358776364916,0.0,1.0,0.2371000948035554,0.4196534362930487,9.53748869895935
23,2657.4393997585967,248.915832667165,0.0,1.0,0.23712894464706635,0.4194523397926712,9.9529390335083
24,2635.2353769036854,246.38399645985217,0.0,1.0,0.23720653803262604,0.41924349714225245,10.369400978088379
25,2615.2621487900738,244.23461965836452,0.0,1.0,0.23734237148905366,0.41904078587052757,10.780521869659424
26,2585.2586389014937,241.85771036657167,0.0,1.0,0.2375416518009043,0.4188667956337998,11.192226886749268
27,2537.5251294421314,238.57567187285017,0.0,1.0,0.23779890834688072,0.418747676145076,11.600859880447388
28,2485.4294155295083,235.0485405360442,0.0,1.0,0.238087576572083,0.41869898614478984,12.012099742889404
