# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-10 12:36:24
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE+NILS(Laplace Guard)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
#   lambda_nils: 0
# ===========================================

iteration,loss,grad_norm,nils,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615968222493,500.5237218172113,2.3421276469496117,0.0,1.0,0.2407,0.42750849114374323,0.33750224113464355
1,6666.719367109208,487.08527703708097,2.354978589265793,0.0,1.0,0.24036663483904291,0.42677960095042017,0.6887784004211426
2,6234.389771259694,472.2752711744572,2.3671944098609723,0.0,1.0,0.2400595332707509,0.4261135668321987,1.0291001796722412
3,5846.33754297509,457.18305250279644,2.378776640612945,0.0,1.0,0.23977768832237858,0.42550565897886133,1.3598883152008057
4,5470.730135659236,441.18473398307884,2.3897476046972144,0.0,1.0,0.23951955835131603,0.42495083735497874,1.6836562156677246
5,5134.778956435395,425.8499359557934,2.4001169940975187,0.0,1.0,0.2392848496580762,0.42444532094458715,2.0096561908721924
6,4833.87819521931,411.30466237985115,2.4099041242506334,0.0,1.0,0.23907173855967825,0.42398494912702134,2.3031113147735596
7,4563.8556200450075,397.5522307627323,2.419131062196721,0.0,1.0,0.23887830818141484,0.42356559468042043,2.5931992530822754
8,4321.693853561568,384.5780290618951,2.4277954176836536,0.0,1.0,0.23870335936698728,0.42318432912730447,2.9033610820770264
9,4104.7017045188,372.349858820358,2.435873019776724,0.0,1.0,0.23854630970946303,0.4228389748382178,3.2291760444641113
10,3910.340399266858,360.83156444901346,2.443318778344692,0.0,1.0,0.23840691887515464,0.4225276003341197,3.5523130893707275
11,3735.792918819121,349.96670128639107,2.4500585107301744,0.0,1.0,0.23828451348103877,0.4222487051380013,3.964893341064453
12,3579.197476335564,339.73018630671123,2.4560671995787726,0.0,1.0,0.23817651478320598,0.42199994276334185,4.561779260635376
13,3440.6197446016677,330.2093504026244,2.46146938780172,0.0,1.0,0.23807759400074527,0.4217757240538022,6.1823201179504395
14,3317.6922761986293,321.36821270368586,2.4663208021597685,0.0,1.0,0.23798506954291157,0.4215711992749705,7.472451210021973
15,3208.3808081117318,313.1670252613665,2.4706165975477754,0.0,1.0,0.23789861548171332,0.4213828712788642,8.26622724533081
16,3111.1148527898577,305.5734034353304,2.4743620782977045,0.0,1.0,0.2378179420268485,0.42120752396851335,9.040505170822144
17,3024.703319215918,298.56404048798805,2.4775798814617405,0.0,1.0,0.2377434025115477,0.421041923891315,9.7727632522583
18,2948.0080609116444,292.11384442511553,2.4803171856748807,0.0,1.0,0.23767804276137103,0.4208818266939728,10.207427263259888
19,2880.3284533763167,286.23239677601254,2.4825951087457683,0.0,1.0,0.23762923385677706,0.42072134202934475,10.634030103683472
20,2821.350185253379,280.9599269634859,2.4842522713151354,0.0,1.0,0.23760821774035953,0.4205547072832789,10.998964309692383
21,2770.5712337519217,276.3455893679163,2.4847843663167404,0.0,1.0,0.2376299230512185,0.420379018279865,11.359186172485352
22,2725.5938334284992,272.31703299888227,2.483286459782473,0.0,1.0,0.23770925090421402,0.4202006930662781,11.688917398452759
23,2680.1675669475953,268.44653700384504,2.4788189133143383,0.0,1.0,0.2378509506858312,0.4200376440235683,12.02808427810669
24,2626.0340813440625,263.96325448613624,2.4713948323276793,0.0,1.0,0.23803463758355456,0.4199111060960438,12.392935276031494
25,2567.6262093643577,259.081839106991,2.4628194983597074,0.0,1.0,0.23821148970795572,0.419829032941544,12.711867332458496
26,2510.737593679425,254.23690796845176,2.455934022231981,0.0,1.0,0.23832528271699946,0.41977932676181107,13.004729270935059
27,2459.3837547191188,249.8375469334431,2.4525682339946506,0.0,1.0,0.23834911152571436,0.4197393679102832,13.31176233291626
28,2412.680382304012,245.7988111183491,2.4523175178016907,0.0,1.0,0.23829780267151052,0.4196958898430356,13.681740045547485
29,2369.6451145979436,241.969224139023,2.453813641420753,0.0,1.0,0.2382044406060158,0.4196477286548232,14.033775091171265
30,2330.3186053045843,238.36318392838933,2.4559780520201064,0.0,1.0,0.238095165286419,0.4195986404374275,14.347594261169434
31,2294.319136621667,234.9616805625388,2.4582674728935303,0.0,1.0,0.23798391682689668,0.41955017518753174,14.729773044586182
32,2261.612701132387,231.7810270898874,2.4604126994328595,0.0,1.0,0.23787764679559908,0.4195034795394533,15.090169191360474
33,2231.8190789970586,228.8110795317984,2.4623596862238686,0.0,1.0,0.2377780534939742,0.4194590526895817,15.41133999824524
34,2204.5768808257844,226.03588174454737,2.4641234721571412,0.0,1.0,0.23768394549839805,0.41941823216355995,15.724922180175781
35,2179.4419433625085,223.42224056377455,2.4657800186322647,0.0,1.0,0.2375938217089778,0.4193806115800634,16.07393717765808
36,2156.2386942489275,220.96025965516972,2.467318434008525,0.0,1.0,0.23750717104711,0.4193460577948594,16.420717239379883
37,2134.7454933015665,218.6364888102382,2.468741771561969,0.0,1.0,0.23742405145065693,0.419314098403639,16.761985063552856
38,2114.8194316189674,216.4439723112997,2.470030670042205,0.0,1.0,0.2373450277655684,0.4192842777865402,17.102266311645508
39,2096.332005803583,214.37734974781876,2.4711601268977814,0.0,1.0,0.2372710646355502,0.41925600706188293,17.41922926902771
40,2079.161001251384,212.43060764489346,2.472125399599791,0.0,1.0,0.23720249364138504,0.41922928532127046,17.75118637084961
41,2063.1629800306155,210.59344529994203,2.4729331885476866,0.0,1.0,0.2371385988488137,0.41920433849756444,18.05760407447815
42,2044.1084169417625,208.4094955919647,2.4736123860080914,0.0,1.0,0.23707856895379217,0.41918118468463317,18.374229431152344
43,2013.5932608246876,204.95609741129783,2.4741389509665503,0.0,1.0,0.23702282054928864,0.4191600361929234,18.683293342590332
44,1984.3202310025235,201.596143600693,2.474421988987666,0.0,1.0,0.23697423157318212,0.4191418617465163,19.032119035720825
45,1956.8470047639353,198.3982427653955,2.4745293136037323,0.0,1.0,0.23693097564754487,0.41912626786821117,19.3697190284729
46,1930.4716458995272,195.2906369774241,2.474490776313285,0.0,1.0,0.23689233656248182,0.41911294748490846,19.717060089111328
47,1905.3838757356434,192.29698209331366,2.4743268836473136,0.0,1.0,0.23685774889177116,0.4191018008370129,20.049175024032593
48,1881.4734781821046,189.40958827901065,2.4740595343740748,0.0,1.0,0.23682666196941468,0.41909262203413433,20.397085189819336
49,1858.7089652392754,186.62749439524742,2.473698472490883,0.0,1.0,0.23679878823672412,0.4190853039020964,20.73316717147827
50,1836.778823327465,183.91792987211275,2.4732439924060152,0.0,1.0,0.23677393580780395,0.4190799575317419,21.043835163116455
51,1815.670723235226,181.28084405870126,2.4727157947250022,0.0,1.0,0.2367515580295251,0.4190763832663386,21.34497833251953
52,1795.3995470877385,178.72456248858006,2.4721207093616355,0.0,1.0,0.2367314933816027,0.4190745802898147,21.679126024246216
53,1775.9919524123675,176.25460606804953,2.471469765541522,0.0,1.0,0.23671361034966976,0.419074399187516,22.027271270751953
54,1757.47710180473,173.87784948047042,2.47076488964067,0.0,1.0,0.2366977729340861,0.4190758271406502,22.39703130722046
55,1739.7222618328583,171.5836909742724,2.470021288552419,0.0,1.0,0.236683545617727,0.419078584055126,22.72985601425171
56,1722.768298281388,169.37596868062616,2.469251127617806,0.0,1.0,0.23667067259405902,0.4190825832915676,23.06372308731079
57,1706.5902453119038,167.2525181686036,2.4684547755032566,0.0,1.0,0.2366592252732333,0.4190877745259317,23.36782217025757
58,1691.2668000411982,165.22274596737637,2.4676282627669437,0.0,1.0,0.2366493453974736,0.41909429728306125,23.677465200424194
59,1676.6546790067912,163.2727396839894,2.4667768773309975,0.0,1.0,0.23664086399884754,0.41910207183167664,24.014180183410645
60,1662.6959872720042,161.39736057082723,2.465904945635547,0.0,1.0,0.23663374935891804,0.4191109412661165,24.350290298461914
61,1649.5077336766826,159.6114190058198,2.465013980227572,0.0,1.0,0.2366278876909517,0.4191207868552921,24.7011661529541
62,1637.0045824258698,157.90567959781032,2.4641048246447963,0.0,1.0,0.23662329934418475,0.4191317000509002,25.054599285125732
63,1625.2055477522313,156.28478015239648,2.463176607588125,0.0,1.0,0.23661989574611414,0.41914357751929054,25.390063285827637
64,1614.1820366159138,154.75941177164023,2.4622277513545714,0.0,1.0,0.2366176500743229,0.41915640155703443,25.690263032913208
65,1603.6884583663268,153.2979188505096,2.4612588755398956,0.0,1.0,0.23661653556091913,0.41917016680963065,26.031683206558228
66,1593.7208480222982,151.90143553085866,2.4602693599681555,0.0,1.0,0.23661653951857523,0.41918482230972015,26.337583303451538
67,1584.2149171273002,150.56229510163843,2.4592610031508193,0.0,1.0,0.2366175576149576,0.41920032658739076,26.630335330963135
68,1575.1936755236572,149.2817509534143,2.4582313080066043,0.0,1.0,0.23661967655169558,0.4192168922239885,26.930703163146973
69,1566.6433932255188,148.05811492334485,2.457189060016805,0.0,1.0,0.23662276241769298,0.41923442864011085,27.268554210662842
70,1558.3463800828915,146.86309329880524,2.456139035235411,0.0,1.0,0.23662664045837278,0.419252926185368,27.6044762134552
71,1550.374111803533,145.70645216762603,2.4550913307851903,0.0,1.0,0.23663101650510468,0.4192722089621606,27.957948207855225
72,1542.7325444677622,144.5907007038109,2.454047896311681,0.0,1.0,0.2366358318122969,0.4192922980299249,28.303795337677002
73,1535.4145906565968,143.5155129735898,2.453009487446794,0.0,1.0,0.23664110667616137,0.419313206323157,28.6480712890625
74,1528.5204061985514,142.49493969228305,2.451975963957684,0.0,1.0,0.2366467862844106,0.41933481370213216,28.98192024230957
75,1521.8622714522771,141.50366741345928,2.4509456683072317,0.0,1.0,0.23665296376479983,0.41935710778657,29.29801321029663
76,1515.439668337221,140.5411407263872,2.4499170558368606,0.0,1.0,0.2366595699789805,0.41937996616005924,29.6312313079834
77,1509.4403381258358,139.63072962711578,2.448886371091526,0.0,1.0,0.23666677448519782,0.4194036280011424,29.992828130722046
78,1503.5725995995567,138.73410157853516,2.447863439925755,0.0,1.0,0.23667433023601744,0.4194278527411652,30.34518027305603
79,1497.9485676950726,137.86712321925575,2.446843438584559,0.0,1.0,0.2366823120232305,0.41945277266834224,30.67649817466736
80,1492.4631863552643,137.01425925073247,2.445837727650282,0.0,1.0,0.23669050628034602,0.4194782562041101,30.986258268356323
81,1488.4553641777156,136.36287708395304,2.444846287487905,0.0,1.0,0.2366988983688557,0.41950410609304617,31.3267982006073
82,1484.7941528304748,135.76029578532103,2.443884973049808,0.0,1.0,0.23670707952271022,0.4195300446320809,31.6413311958313
83,1481.2825178710532,135.17762069282787,2.442940551636415,0.0,1.0,0.2367153422797942,0.41955594690336717,31.936591148376465
84,1477.908872630566,134.6157733391855,2.4420063857961916,0.0,1.0,0.23672385904966908,0.41958192182293425,32.221137285232544
85,1474.6926130913153,134.07463882106163,2.44108822464445,0.0,1.0,0.23673255514001812,0.41960799092938594,32.540363073349
86,1471.8789308679252,133.58955366098527,2.4401899799536286,0.0,1.0,0.23674132494738895,0.41963407465440455,32.894840240478516
87,1469.1781740972488,133.12055078282356,2.4393092154199487,0.0,1.0,0.2367502661438915,0.419660108033794,33.23172926902771
88,1466.6792288189934,132.67836858102254,2.4384442123505554,0.0,1.0,0.23675917890329282,0.41968633251680293,33.58073711395264
89,1464.4041060885638,132.2677658272556,2.4375971905449667,0.0,1.0,0.23676810964390374,0.41971270592877213,33.94465613365173
90,1462.2664621036083,131.8745239556692,2.4367713919688048,0.0,1.0,0.23677696930090106,0.4197391834906872,34.284640312194824
91,1460.5766507122835,131.54409772534186,2.4359642233991634,0.0,1.0,0.2367858935879168,0.4197657678793073,34.65275740623474
92,1459.4056400463965,131.2887534940603,2.4351899172596894,0.0,1.0,0.23679450828215579,0.4197922562494895,35.00119423866272
93,1458.4179774279405,131.06026119897635,2.434445432839475,0.0,1.0,0.23680277561280288,0.41981858624761315,35.339295387268066
94,1458.6771183370456,131.00782380353755,2.4337198445406236,0.0,1.0,0.23681083919568285,0.41984491631933485,35.682382106781006
95,1459.428992823739,131.0277929359131,2.4330370959529612,0.0,1.0,0.23681818181883793,0.41987086188382794,36.10920715332031
96,1460.5288156243043,131.10113757263855,2.432391743483855,0.0,1.0,0.23682493483308492,0.41989620218154605,36.4529242515564
97,1461.575752854801,131.16779424529062,2.4317749888864006,0.0,1.0,0.2368311166126342,0.41992105329417967,36.77336621284485
98,1462.552015923056,131.22489336086497,2.431175412475323,0.0,1.0,0.23683703738070885,0.41994560027991557,37.06051516532898
99,1463.5208412046263,131.28217890165055,2.430596723373218,0.0,1.0,0.23684270311944547,0.41996980044827426,37.342785120010376
