# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2025-12-24 19:31:51
# Optimizer Type: adam
# Loss Type: EPE
# Learning Rate: 0.005
# Initial Loss: 2680.883744
# Target Shape: 1000x1000_cell1000_inverse_stage2
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 1e-08
#   lambda: 0.99999999
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,2680.883744443511,148.45547661420042,0.0,1.0,0.1523989882876317,0.2111232135162869,0,0.0,0.0,1.0806183815002441
1,2668.4672426384936,147.90970757286942,0.0,1.0,0.15420380523964036,0.21142658000242942,1,14.845547661420028,0.13281579744935273,2.123939037322998
2,2657.548800136511,147.4323924010375,0.0,1.0,0.15599922798515437,0.2117743945705337,2,28.151840409286105,0.2644105023993222,3.132270097732544
3,2647.368950021794,146.9840238424646,0.0,1.0,0.15778683416212494,0.21216269008111086,3,40.079527289966094,0.39490051726050807,4.128927230834961
4,2637.974044862187,146.56770913972147,0.0,1.0,0.15956669601482812,0.21258904901756237,4,50.76925416563824,0.5243356930185594,5.115037202835083
5,2629.310127192834,146.18059392746372,0.0,1.0,0.16133783958398482,0.2130519595617641,5,60.34791783623524,0.6527683967314737,6.125720024108887
6,2620.170406645739,145.7576194797521,0.0,1.0,0.16310004873867334,0.21354950323963273,6,68.92944355064674,0.7802441605926405,7.134219169616699
7,2611.195583213286,145.33316530532932,0.0,1.0,0.1648531199902537,0.21407992915462848,7,76.60990394596195,0.9067060701123547,8.217314004898071
8,2603.0972778026785,144.94640796443346,0.0,1.0,0.16659658757051735,0.2146417323682755,8,83.47919167654217,1.0321506538208942,9.310056209564209
9,2595.595244218978,144.58243950001034,0.0,1.0,0.16832973421188901,0.2152335117810225,9,89.62210802947006,1.1566348900561918,10.296903133392334
10,2588.71742244137,144.24301599924343,0.0,1.0,0.17005217680035917,0.2158538839862986,10,95.11349251793132,1.2801902515117092,11.337561130523682
11,2582.483489237701,143.9293647506766,0.0,1.0,0.17176379524884372,0.216501148764032,11,100.02088207706132,1.4028512259280324,12.423153162002563
12,2576.8721698061395,143.64066014483936,0.0,1.0,0.17346431393285294,0.21717403910671182,12,104.40518895065364,1.5246539999799942,13.448937177658081
13,2571.7156957038287,143.36775942318198,0.0,1.0,0.17515350318483822,0.21787096032911313,13,108.32115517822392,1.6456324034801366,14.470580339431763
14,2566.6622440532083,143.09121552712762,0.0,1.0,0.1768310490417031,0.21859051287378067,14,111.81713526824632,1.7658042740813131,15.937105178833008
15,2555.912293109001,142.48074846270416,0.0,1.0,0.17849689372014674,0.2193312896466642,15,114.9347455695359,1.8851591890053374,17.175111293792725
16,2546.1479085828773,141.91125333681507,0.0,1.0,0.1801512765333601,0.22009182141086167,16,117.67892161245568,2.0031944083617272,18.23757815361023
17,2536.8839682250004,141.35575710426252,0.0,1.0,0.1817938686246655,0.22087108829365823,17,120.09098799569637,2.119969594402035,19.278759241104126
18,2528.189553659998,140.81836112220668,0.0,1.0,0.18342457115681923,0.22166777192572254,18,122.205497449032,2.2355032364139253,20.268846035003662
19,2520.660602542259,140.3347438760494,0.0,1.0,0.18504330402049796,0.22248073115396633,19,124.05395785874774,2.3498198109479724,21.25398325920105
20,2501.396284030908,139.18754387862361,0.0,1.0,0.1866503485505851,0.22330853365206105,20,125.66825003767391,2.462994738040126,22.30353617668152
