# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-09 19:35:15
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE (Edge-Constrained)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
# ===========================================

iteration,loss,grad_norm,nils,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.615968222493,520.5726831116358,2.3421276469496117,0.0,1.0,0.2407,0.42750849114374323,0.5261938571929932
1,6755.394849997677,509.6490657872735,2.3524440978281813,0.0,1.0,0.24046547725588027,0.42691425875696437,1.0026698112487793
2,6400.851147599251,497.7183738743643,2.3622321499800463,0.0,1.0,0.2402494303118807,0.42636896620682796,1.4655449390411377
3,6080.500493896488,485.61263143164376,2.371490850379688,0.0,1.0,0.24005085515589192,0.42586945916701413,1.959587812423706
4,5791.377791442451,473.833908387176,2.380237422208564,0.0,1.0,0.2398682798605472,0.42541216274937815,2.448281764984131
5,5527.9697358873245,462.50722446554863,2.3884932357222453,0.0,1.0,0.23970015826185612,0.42499377498844904,2.8964390754699707
6,5272.0800549835685,450.921385439783,2.396277637665905,0.0,1.0,0.23954505716520366,0.4246114514704218,3.4230799674987793
7,5039.358666446304,439.89487612111,2.403603642915829,0.0,1.0,0.23940226507032303,0.4242629533184931,3.8993117809295654
8,4827.512837491357,429.4009932990109,2.4104883277318576,0.0,1.0,0.2392702939981654,0.42394584265761726,4.351732015609741
9,4634.580436409942,419.4062105332071,2.4169475622071794,0.0,1.0,0.23914775769820998,0.4236577002548912,4.833125829696655
10,4459.280317795116,409.9066899478456,2.4229928814525103,0.0,1.0,0.23903382424628022,0.4233962780954387,5.427835941314697
11,4300.123222073558,400.8806548243071,2.428628394685994,0.0,1.0,0.23892810868578918,0.4231596235788562,5.987619876861572
12,4155.544932982753,392.3021918030243,2.433841002737003,0.0,1.0,0.23883046449191975,0.42294616441748034,6.590687990188599
13,4024.0041715260495,384.1535487275025,2.4386120175074355,0.0,1.0,0.23874040001952157,0.42275468536691724,7.09643292427063
14,3904.5857888244936,376.42926988242954,2.442962082860323,0.0,1.0,0.23865660126267443,0.4225834092822112,7.635714769363403
15,3797.2237418465193,369.1654686381479,2.446972115830928,0.0,1.0,0.23857667551712833,0.42242908498745935,8.183415651321411
16,3700.389601737619,362.3322115399738,2.4506450499376,0.0,1.0,0.23850023082522928,0.4222891493862533,8.7307608127594
17,3612.8035385700978,355.9079449790078,2.453974197561278,0.0,1.0,0.23842728763350093,0.42216144903114206,9.285849809646606
18,3533.369346524773,349.87194727533785,2.4569640569545834,0.0,1.0,0.23835772177941306,0.4220443334999134,9.859046936035156
19,3458.4130518555185,343.9786136316674,2.4596326387202914,0.0,1.0,0.23829107377929323,0.4219363171280188,10.367496967315674
20,3388.163254242832,338.26964034502487,2.462006001341605,0.0,1.0,0.238226969551174,0.421835951572204,10.910099983215332
21,3324.369922200425,332.91106345776797,2.464110843109672,0.0,1.0,0.2381650825592139,0.4217416442545596,11.648773908615112
22,3266.4391563987333,327.8847705582712,2.465963328768625,0.0,1.0,0.23810514749419753,0.4216520417307796,13.3366117477417
23,3213.716753443266,323.17179132689614,2.467569200933892,0.0,1.0,0.23804708905330416,0.4215663635753905,15.406705856323242
24,3165.6281025297676,318.75612357754966,2.4689261416793498,0.0,1.0,0.23799135767862456,0.4214840801420246,16.828397035598755
