# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-03-10 21:03:35
# Optimizer Type: EdgeConstrained-sgd
# Loss Type: PE+NILS(Laplace Guard + Decay)
# Learning Rate: 0.1
# Initial Loss: 7145.615968
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
#   lambda_nils: 0.5
# ===========================================

iteration,loss,grad_norm,nils,mask_min,mask_max,mask_mean,mask_std,time_elapsed
65,1134.8425755295762,91.24279948781104,2.4945596441625306,0.0,1.0,0.23546625103501614,0.41762619472965395,26.993917226791382
66,1125.3828250755441,89.69809429784345,2.4939674327915324,0.0,1.0,0.23546821589271377,0.41761590216477934,27.500222206115723
67,1116.7091974381572,88.30504034964741,2.4933807800675707,0.0,1.0,0.2354708940715883,0.4176071346239209,28.013257265090942
68,1108.4939398649617,86.98701438633779,2.4927661264342516,0.0,1.0,0.2354746390013647,0.41760012787913897,28.48778009414673
69,1100.588123411932,85.69696680098761,2.4921125416165046,0.0,1.0,0.2354793634144981,0.4175955095156832,28.992497205734253
70,1093.2983168921724,84.5036954844713,2.4914642090389534,0.0,1.0,0.23548388373058832,0.4175934698091271,29.468080043792725
71,1082.8110662113227,82.57289398660716,2.4908755333697723,0.0,1.0,0.2354865088244454,0.4175939607365137,29.92225408554077
72,1072.8730525159585,80.66643342686345,2.490160929052203,0.0,1.0,0.23549288425829762,0.4176002460188308,30.40979027748108
73,1064.097537335864,78.98515137699808,2.489530818967631,0.0,1.0,0.23549881856086902,0.4176098721979424,30.890472173690796
74,1056.3878658597596,77.50250391395747,2.488939236516242,0.0,1.0,0.23550471708830942,0.4176220353979451,31.398717164993286
75,1049.5934692531096,76.19580933804644,2.488388094491683,0.0,1.0,0.23551059525837711,0.4176357361841582,31.88453507423401
76,1043.6258604875047,75.0433371620014,2.4878508933579337,0.0,1.0,0.23551702802678623,0.41765049654950936,32.38742208480835
77,1038.3793391965683,74.02925183293344,2.4873270053022694,0.0,1.0,0.23552392124223204,0.4176660028906587,32.89307904243469
78,1033.698698019292,73.11913878266125,2.4868162658692925,0.0,1.0,0.2355311629902193,0.4176819509764564,33.37834906578064
79,1029.588286729694,72.32112617078042,2.4863179193926976,0.0,1.0,0.23553857961062663,0.4176981633820157,33.87519311904907
80,1025.9341853751143,71.618242620001,2.4858417052309463,0.0,1.0,0.23554604432868917,0.41771412175247813,34.37894606590271
81,1022.9640606256137,71.07780787102162,2.485388759770053,0.0,1.0,0.23555349669390171,0.417729632898758,34.82355308532715
82,1020.4752283653164,70.65482723177496,2.4849774304129326,0.0,1.0,0.23556034235787415,0.41774421455391364,35.29555821418762
83,1018.2339352028972,70.28797471786605,2.48460114379678,0.0,1.0,0.2355664896270909,0.41775774778656616,35.791858196258545
84,1016.1496847839627,69.94614679982035,2.4842486318331836,0.0,1.0,0.23557219770231302,0.41777036232587667,36.26000094413757
85,1014.2473419359025,69.63924460575673,2.483921496099063,0.0,1.0,0.23557746496454,0.41778204544530956,36.71971011161804
86,1012.4502927225327,69.3487741471701,2.483622263712312,0.0,1.0,0.23558210865531326,0.41779289137644765,37.237542152404785
87,1010.7657958824855,69.078304866208,2.4833489886824975,0.0,1.0,0.2355861339770046,0.41780295707149134,37.72662305831909
88,1009.2089002201761,68.83285449027098,2.4831016924126157,0.0,1.0,0.2355894786996368,0.41781225700917407,38.22491407394409
89,1007.7743806903106,68.61337775594941,2.4828815463847675,0.0,1.0,0.23559220301539363,0.41782074821518217,38.72422814369202
90,1006.4595906654874,68.42338376745454,2.482688792384807,0.0,1.0,0.2355942971717511,0.4178284180101363,39.20345497131348
91,1005.2678874532389,68.26487826389211,2.482522091791997,0.0,1.0,0.23559579738222328,0.41783520260603585,39.68923592567444
92,1004.1917631133991,68.13641913674718,2.4823786256262323,0.0,1.0,0.23559680299030727,0.41784106844191526,40.15139603614807
93,1003.2135891633977,68.03440840265033,2.4822562338021403,0.0,1.0,0.23559738141916547,0.41784605132686814,40.63328719139099
94,1002.3420055169654,67.96213327085816,2.48215081319763,0.0,1.0,0.23559765139097702,0.41785019774030663,41.11196684837341
95,1001.5719793827396,67.91966453685971,2.482060533037736,0.0,1.0,0.2355976787959516,0.41785354488883086,41.597798109054565
96,1000.8976521995187,67.90694008162208,2.4819851202568435,0.0,1.0,0.2355975084859829,0.41785615351895994,42.076563119888306
97,1000.3118232784311,67.92256182393048,2.4819233379270624,0.0,1.0,0.23559719293327974,0.4178580761013584,42.568645000457764
98,999.809784517269,67.9655556176519,2.481873701030295,0.0,1.0,0.23559677071976692,0.41785938601331196,43.07852625846863
99,999.3870799988342,68.03490108603718,2.4818358243829244,0.0,1.0,0.23559625677782922,0.41786018072503117,43.59238123893738
