# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-22 17:48:38
# Optimizer Type: Hybrid-ConFIG
# Loss Type: PE+EPE (Smart Fusion)
# Learning Rate: 0.01
# Initial Loss: 7972.006867
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 10
#   use_adaptive_weight: True
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7972.006867390537,324.44639416176693,0.0,1.0,0.2407,0.42750849114374323,0.3968799114227295
1,7964.03137206966,324.9798485826435,0.0,1.0,0.24045479344973336,0.4264807810766006,0.7828412055969238
2,7877.776058967622,323.4792302727409,0.0,1.0,0.2402093575377073,0.4254760824482857,1.1666419506072998
3,7797.2428007685085,321.9288809866145,0.0,1.0,0.2399650826152308,0.42449590872329906,1.5489211082458496
4,7722.598909806585,320.3849881632497,0.0,1.0,0.23972235722795426,0.42354071774050606,1.9347779750823975
5,7653.90372959926,318.8919024748115,0.0,1.0,0.23948135755648745,0.4226106634351192,2.3250091075897217
6,7591.1183771005735,317.4811885390773,0.0,1.0,0.23924217171071824,0.4217057361340855,2.71105694770813
7,7513.657604111791,315.6697945305948,0.0,1.0,0.2390048395232409,0.4208258158272824,3.098043918609619
8,7442.286377280266,313.9754167922116,0.0,1.0,0.23876954058704694,0.41997085453009225,3.4855310916900635
9,7369.14728720257,312.21039735827213,0.0,1.0,0.23853637588950924,0.41914067700043084,3.874511241912842
10,7280.769698794478,310.0309177898515,0.0,1.0,0.23830545512531676,0.41833502579193577,4.260421991348267
11,7198.308308166712,307.96535349200866,0.0,1.0,0.23807697926832275,0.417553709798823,4.657847166061401
12,7121.4683799993645,306.0083528203436,0.0,1.0,0.23785106787777432,0.41679640009876656,5.041820049285889
13,7049.979935637266,304.1543751020362,0.0,1.0,0.23762779137267354,0.41606264694990824,5.414867162704468
14,6983.585957243772,302.3980518189292,0.0,1.0,0.2374071278565937,0.41535189523753885,5.8000710010528564
15,6922.0192492800315,300.7339456777635,0.0,1.0,0.23718903415305925,0.4146635130781608,6.190927982330322
16,6865.040433832883,299.15772035709654,0.0,1.0,0.23697343929153267,0.41399675090763755,6.578091144561768
17,6812.4011856285015,297.6652151279482,0.0,1.0,0.23676026624373603,0.4133507727422045,6.973478078842163
18,6763.8612467105595,296.25277061507154,0.0,1.0,0.23654950482091638,0.4127248116456311,7.364189147949219
19,6719.2160220988935,294.9173125756711,0.0,1.0,0.2363410958356005,0.4121181242204169,7.751455068588257
20,6678.209042496872,293.6540340695973,0.0,1.0,0.23613495415278496,0.41152996641929357,8.142961025238037
21,6640.622820120587,292.45851912988053,0.0,1.0,0.23593091507324124,0.41095942124939333,8.620076179504395
22,6606.194609880323,291.32517072119197,0.0,1.0,0.23572900015176484,0.4104055671067334,9.192004203796387
23,6574.693499713547,290.25055544079623,0.0,1.0,0.23552927950415609,0.40986746925825684,9.583052158355713
24,6545.836783578029,289.2311146258432,0.0,1.0,0.23533200257344855,0.40934374667285167,9.990936279296875
25,6519.346301958187,288.263282046396,0.0,1.0,0.2351377411223711,0.4088330271297949,10.381587028503418
26,6494.995172592353,287.3396714970556,0.0,1.0,0.23494608485999408,0.40833470743302425,10.786265134811401
27,6472.620882068387,286.4515347213807,0.0,1.0,0.23475658485157222,0.40784853469186094,11.176212072372437
28,6452.129724240923,285.5897023416477,0.0,1.0,0.234569801814584,0.4073744444912162,11.554968118667603
