# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2025-12-25 16:54:20
# Optimizer Type: momentum
# Loss Type: EPE
# Learning Rate: 0.005
# Initial Loss: 1771.480675
# Target Shape: 1000x1000_cell1000_inverse_stage2
# Optimizer Parameters:
#   momentum: 0.9
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,velocity_norm,time_elapsed
0,1771.4806749232525,62.53326154282644,0.0,1.0,0.053499744181130786,0.20930898522096858,0.0,0.956611156463623
1,1771.5294737152492,62.48475649579784,0.0,1.0,0.05351234868810421,0.20931776571929267,0.31266630771413323,1.9266948699951172
2,1771.8875443570864,62.395705056936926,0.0,1.0,0.05353555069613243,0.20933186510822888,0.5938212791738221,2.889249086380005
3,1773.1067078288577,62.28646459380968,0.0,1.0,0.05356740215863282,0.20934815034210053,0.8464017571460277,3.8254239559173584
4,1775.8506875339651,62.189342306753346,0.0,1.0,0.053606488248798226,0.20936579414235595,1.0731389604804462,4.755044221878052
5,1780.8380050521282,62.14628939941388,0.0,1.0,0.0536517766026154,0.2093855036893041,1.2766367983935767,5.68670392036438
6,1782.849325084266,61.98932120277131,0.0,1.0,0.05370200218432817,0.20940668164065315,1.459431701667187,6.639755964279175
7,1786.0023357510536,61.87815420024275,0.0,1.0,0.05375583079769707,0.2094282403547121,1.6229538453529153,7.6799070835113525
8,1787.3747371230313,61.72676193308057,0.0,1.0,0.05381196545758708,0.20944892570434856,1.769283725503664,8.672559976577759
9,1790.072048774507,61.653238287771686,0.0,1.0,0.05386952302933166,0.20946902953443886,1.8998734700026831,9.720518827438354
10,1795.3421045847565,61.70719748193603,0.0,1.0,0.0539274787116688,0.209487805912224,2.0166233091830095,10.677657127380371
11,1803.1003823634542,61.890590082171414,0.0,1.0,0.05398507403153439,0.20950528542001315,2.1215085654028236,11.676275968551636
12,1812.8815343308315,62.18904006819033,0.0,1.0,0.05404149278363988,0.20952084832524637,2.2163348811675094,12.699251890182495
13,1821.3696031078641,62.48833995609709,0.0,1.0,0.05409593376569451,0.2095334767611921,2.3026801797652605,13.94022798538208
14,1829.014200751167,62.802003026733175,0.0,1.0,0.05414778515617041,0.2095426957940739,2.381442611669638,15.025515079498291
15,1836.849872708755,63.156846724655985,0.0,1.0,0.05419660348405853,0.20954832446259788,2.453537693925203,16.00956892967224
16,1844.3906034943325,63.527097603744,0.0,1.0,0.054242198251965114,0.2095510289183214,2.5199535485322895,17.021687030792236
17,1845.7174895606663,63.699882835303434,0.0,1.0,0.054284307760045204,0.20955053683230684,2.581439552310743,18.026785135269165
18,1845.7096275946926,63.832517806726415,0.0,1.0,0.054322655048746955,0.20954643763577402,2.6376275530097297,19.036902904510498
19,1842.6206407711209,63.85359389863316,0.0,1.0,0.054357053496632064,0.2095383769255296,2.688966372687394,19.978672981262207
20,1840.0830976128527,63.884172780444146,0.0,1.0,0.05438752365195283,0.20952682951464427,2.735490960225455,20.98967981338501
21,1837.974785344878,63.91833488135544,0.0,1.0,0.05441425796688834,0.2095122307138167,2.7777964194175655,22.0047709941864
22,1836.1786695519615,63.95221172042121,0.0,1.0,0.05443748034701889,0.2094951411649393,2.816362176708698,23.003973960876465
23,1834.5950807970837,63.98423095536849,0.0,1.0,0.054457585525762325,0.20947601557684783,2.851577749206419,23.966375827789307
24,1833.5013280301343,64.02170352522673,0.0,1.0,0.05447496092099738,0.2094542503300862,2.8837634141613115,24.91289710998535
25,1832.45010881803,64.0537434123811,0.0,1.0,0.05449017028466635,0.20943048112659315,2.9132371316914965,25.86304497718811
26,1829.8200234063409,64.02596368300009,0.0,1.0,0.05450344201998512,0.20940550755032583,2.9402082633929894,26.871289014816284
27,1827.3192396884745,63.99649064111555,0.0,1.0,0.054514817181201325,0.20937944329316238,2.9645914454213225,27.88990592956543
