# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-15 11:56:04
# Optimizer Type: adam
# Loss Type: PE
# Learning Rate: 0.01
# Initial Loss: 5541.527552
# Target Shape: 1000x1000_cell1000_inverse_stage1
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 0.01
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,5541.527552177722,204.32784712210517,0.0,1.0,0.059254,0.23609947794097302,0,0.0,0.0,3.101469039916992
1,5569.457558752835,207.058859769514,0.0,1.0,0.05924162621981709,0.23471612673625297,1,20.432784712210506,0.2536162687197495,6.288407564163208
2,5579.582709237628,209.54717588619866,0.0,1.0,0.059228134964276265,0.2333401464583024,2,39.09519845809429,0.5134932928040894,9.864254236221313
3,5433.616913498926,209.4263141596877,0.0,1.0,0.05921339124812352,0.23197159717801816,3,56.139948584527886,0.7791023032362706,13.031554460525513
4,5286.449538586388,209.01241297463378,0.0,1.0,0.059198359243941304,0.23061360083813126,4,71.46745415109815,1.0441255294587581,16.088396310806274
5,5140.293617565108,208.31583940664333,0.0,1.0,0.05918337648916111,0.22926841492257943,5,85.21860600051617,1.307771926497303,19.242712259292603
6,4995.727771421183,207.32253269986575,0.0,1.0,0.05916855322388248,0.22793787670892407,6,97.52219838436606,1.569287389949951,22.34448218345642
7,4853.241175362158,206.01885502576923,0.0,1.0,0.05915393480865324,0.22662342837735214,7,108.49311521737499,1.8278917810755089,25.60628080368042
8,4713.304794375588,204.39364997452557,0.0,1.0,0.059139541048577195,0.22532643191270485,8,118.2335894711907,2.0827839255543488,28.73374915122986
9,4576.380354264737,202.4388660060601,0.0,1.0,0.05912537804273534,0.22404810784620297,9,126.83463050636449,2.333153331357521,31.841789484024048
10,4442.321063133613,200.12981878459743,0.0,1.0,0.05911146835888026,0.2227897195412489,10,134.3773872493484,2.5781952317486265,34.91501426696777
11,4311.838706035808,197.47060531301176,0.0,1.0,0.05909790836570302,0.22155263303631156,11,140.93236443148277,2.8170766283962387,38.03494668006897
12,4185.730841615895,194.47677819759144,0.0,1.0,0.05908484003215948,0.22033802411349424,12,146.56335143397604,3.0490123934573536,41.71279788017273
13,4064.410538021894,191.15892415091292,0.0,1.0,0.05907240097986031,0.21914745509950237,13,151.32917028109344,3.273299179255624,45.324963331222534
14,3948.45165072908,187.54281728462198,0.0,1.0,0.059060893871537665,0.21798301693492378,14,155.2835901651032,3.4893047228909184,48.75320291519165
15,3838.3203306330156,183.65900150251173,0.0,1.0,0.05905068433140099,0.2168470028594483,15,158.47730546156598,3.696502669169106,51.97047019004822
16,3734.135809905155,179.52838836343614,0.0,1.0,0.05904208689571236,0.21574120168456357,16,160.95865796601134,3.8944814299800514,55.165648460388184
17,3637.162580486781,175.24386418029468,0.0,1.0,0.05903559697020375,0.21466838495512955,17,162.77283720151294,4.0829214850038005,58.305415391922
18,3547.9520179445267,170.87820612570036,0.0,1.0,0.05903189292972034,0.2136318534127767,18,163.9695004215038,4.261738716237606,61.486714601516724
19,3466.577324727565,166.486131655198,0.0,1.0,0.05903171402994443,0.2126351046103174,19,164.60029176347092,4.431020677483679,64.75511622428894
20,3393.353677663742,162.14766486817237,0.0,1.0,0.05903582280487954,0.21168170430187414,20,164.71688607900566,4.590974878282569,67.98480296134949
21,3328.8350451976744,157.9673176059091,0.0,1.0,0.05904491873699383,0.21077489015999198,21,164.37368858566458,4.741962414240802,71.15188360214233
22,3272.7590673100703,154.0032009103701,0.0,1.0,0.05905929834278407,0.20991606125967824,22,163.6301767322817,4.884523175924988,74.40370678901672
23,3224.8355254332437,150.30758285300135,0.0,1.0,0.059079206432078764,0.20910663997289294,23,162.545986537311,5.019273307675761,77.61196684837341
24,3184.579912213233,146.9166618717449,0.0,1.0,0.059104773925000464,0.20834736373028334,24,161.18046929815918,5.146881715109693,80.71774888038635
25,3151.4947078295772,143.85871335833883,0.0,1.0,0.05913613949686368,0.20763865838746365,25,159.5913409045498,5.268034456193134,83.87094521522522
26,3124.9211089124983,141.1406927510689,0.0,1.0,0.05917315806608065,0.20697987368968873,26,157.8343546584611,5.383421458763202,87.02894592285156
27,3104.3227532974197,138.7716438570768,0.0,1.0,0.059215849211264764,0.20637053686346438,27,155.9612948032493,5.493702693733354,90.32418823242188
28,3089.0599390486677,136.74484752370486,0.0,1.0,0.059264041051675216,0.20580925409549283,28,154.0209175380651,5.599519566601973,93.7351279258728
29,3078.569481191605,135.04938226771816,0.0,1.0,0.059317486603963014,0.20529437100161657,29,152.05762435700078,5.701479047424714,97.01726579666138
30,3072.493645350585,133.68505764647145,0.0,1.0,0.05937628481667854,0.2048259412919953,30,150.1111169951894,5.800151991681803,100.23917651176453
