# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-14 21:04:44
# Optimizer Type: adam
# Loss Type: PE
# Learning Rate: 0.01
# Initial Loss: 5541.527552
# Target Shape: 1000x1000_cell1000_inverse_stage1
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 0.01
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,5541.52755217781,204.32784712210668,0.0,1.0,0.059254,0.23609947794097272,0,0.0,0.0,1.1523330211639404
1,5569.457558752953,207.05885976951487,0.0,1.0,0.059241626219817094,0.23471612673625294,1,20.432784712210506,0.25361626871968185,2.2047500610351562
2,5579.582709237742,209.54717588620323,0.0,1.0,0.05922813496427622,0.2333401464583024,2,39.0951984580944,0.5134932928039521,3.223351001739502
3,5433.616913499025,209.42631415968685,0.0,1.0,0.05921339124812351,0.23197159717801816,3,56.139948584527524,0.7791023032360666,4.187170028686523
4,5286.449538586501,209.01241297463326,0.0,1.0,0.059198359243941276,0.23061360083813132,4,71.4674541510981,1.0441255294584788,5.162670135498047
5,5140.293617565217,208.3158394066457,0.0,1.0,0.05918337648916108,0.2292684149225794,5,85.21860600051743,1.3077719264970233,6.1154701709747314
6,4995.727771421289,207.32253269986765,0.0,1.0,0.05916855322388249,0.22793787670892407,6,97.52219838436729,1.5692873899495623,7.126510143280029
7,4853.241175362274,206.01885502577224,0.0,1.0,0.059153934808653226,0.22662342837735208,7,108.49311521737498,1.8278917810751185,8.11636996269226
8,4713.3047943757,204.39364997452853,0.0,1.0,0.0591395410485772,0.2253264319127049,8,118.23358947119098,2.082783925553824,9.07817792892456
9,4576.38035426485,202.4388660060627,0.0,1.0,0.05912537804273533,0.224048107846203,9,126.83463050636645,2.333153331356966,10.04410696029663
10,4442.321063133741,200.1298187845998,0.0,1.0,0.05911146835888026,0.22278971954124893,10,134.37738724934846,2.5781952317480785,11.024939060211182
11,4311.838706035925,197.4706053130176,0.0,1.0,0.05909790836570299,0.22155263303631156,11,140.93236443148422,2.8170766283957156,12.02568006515503
12,4185.730841616004,194.47677819759164,0.0,1.0,0.05908484003215945,0.2203380241134942,12,146.5633514339769,3.049012393456614,13.416533946990967
13,4064.410538022013,191.1589241509165,0.0,1.0,0.05907240097986028,0.21914745509950234,13,151.32917028109648,3.27329917925491,14.642071962356567
14,3948.4516507292024,187.5428172846261,0.0,1.0,0.05906089387153761,0.2179830169349238,14,155.2835901651049,3.4893047228902008,15.928242921829224
15,3838.3203306331407,183.65900150251562,0.0,1.0,0.059050684331400954,0.21684700285944836,15,158.4773054615695,3.6965026691684106,17.257537126541138
16,3734.1358099052795,179.5283883634415,0.0,1.0,0.059042086895712324,0.21574120168456354,16,160.95865796601484,3.894481429979378,18.43059206008911
17,3637.1625804868845,175.2438641803016,0.0,1.0,0.05903559697020373,0.2146683849551295,17,162.7728372015155,4.082921485002855,19.435188055038452
18,3547.9520179446295,170.87820612570593,0.0,1.0,0.059031892929720255,0.2136318534127767,18,163.9695004215084,4.261738716236672,20.46054697036743
19,3466.577324727717,166.48613165520632,0.0,1.0,0.05903171402994439,0.21263510461031737,19,164.60029176347615,4.431020677482713,21.449403047561646
20,3393.353677663891,162.1476648681818,0.0,1.0,0.05903582280487947,0.21168170430187405,20,164.71688607900668,4.590974878281617,22.430465936660767
21,3328.835045197827,157.96731760592027,0.0,1.0,0.05904491873699374,0.21077489015999198,21,164.37368858566995,4.741962414239833,23.484548091888428
22,3272.759067310219,154.0032009103811,0.0,1.0,0.059059298342784006,0.2099160612596782,22,163.63017673228694,4.8845231759240875,24.45738911628723
